count,nodata,grid_id,station_name,buffer_km,valid_pixels,nodata_pixels,total_pixels,prop_nodata
15,106.0,22489,Aisa FM,20.0,15,106.0,121.0,0.8760330578512396
35,86.0,22319,Aisa FM,20.0,35,86.0,121.0,0.7107438016528925
66,55.0,22149,Aisa FM,20.0,66,55.0,121.0,0.45454545454545453
68,53.0,21636,Aisa FM,20.0,68,53.0,121.0,0.4380165289256198
66,44.0,21977,Aisa FM,20.0,66,44.0,110.0,0.4
85,36.0,21807,Aisa FM,20.0,85,36.0,121.0,0.2975206611570248
24,97.0,21637,Aisa FM,20.0,24,97.0,121.0,0.8016528925619835
9,91.0,21978,Aisa FM,20.0,9,91.0,100.0,0.91
25,85.0,21808,Aisa FM,20.0,25,85.0,110.0,0.7727272727272727
10,100.0,21638,Aisa FM,20.0,10,100.0,110.0,0.9090909090909091
55,55.0,21979,Aisa FM,20.0,55,55.0,110.0,0.5
13,108.0,21809,Aisa FM,20.0,13,108.0,121.0,0.8925619834710744
4,117.0,21639,Aisa FM,20.0,4,117.0,121.0,0.9669421487603306
85,36.0,20782,Aisa FM,20.0,85,36.0,121.0,0.2975206611570248
85,36.0,20783,Aisa FM,20.0,85,36.0,121.0,0.2975206611570248
95,26.0,20613,Aisa FM,20.0,95,26.0,121.0,0.21487603305785125
65,56.0,20784,Aisa FM,20.0,65,56.0,121.0,0.4628099173553719
17,104.0,20614,Aisa FM,20.0,17,104.0,121.0,0.859504132231405
3,107.0,20444,Aisa FM,20.0,3,107.0,110.0,0.9727272727272728
2,119.0,20785,Aisa FM,20.0,2,119.0,121.0,0.9834710743801653
0,121.0,20615,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,20445,Aisa FM,20.0,0,110.0,110.0,1.0
1,120.0,20274,Aisa FM,20.0,1,120.0,121.0,0.9917355371900827
0,121.0,20275,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20105,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20276,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20106,Aisa FM,20.0,0,121.0,121.0,1.0
10,111.0,19767,Aisa FM,20.0,10,111.0,121.0,0.9173553719008265
88,22.0,19768,Aisa FM,20.0,88,22.0,110.0,0.2
0,121.0,20786,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20616,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,20446,Aisa FM,20.0,0,110.0,110.0,1.0
0,121.0,20787,Aisa FM,20.0,0,121.0,121.0,1.0
1,120.0,20617,Aisa FM,20.0,1,120.0,121.0,0.9917355371900827
0,110.0,20447,Aisa FM,20.0,0,110.0,110.0,1.0
13,97.0,20788,Aisa FM,20.0,13,97.0,110.0,0.8818181818181818
46,64.0,20618,Aisa FM,20.0,46,64.0,110.0,0.5818181818181818
0,100.0,20448,Aisa FM,20.0,0,100.0,100.0,1.0
79,42.0,20789,Aisa FM,20.0,79,42.0,121.0,0.34710743801652894
0,121.0,19936,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20277,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,20107,Aisa FM,20.0,0,121.0,121.0,1.0
0,121.0,19937,Aisa FM,20.0,0,121.0,121.0,1.0
0,110.0,20278,Aisa FM,20.0,0,110.0,110.0,1.0
0,110.0,20108,Aisa FM,20.0,0,110.0,110.0,1.0
6,104.0,19938,Aisa FM,20.0,6,104.0,110.0,0.9454545454545454
45,76.0,20279,Aisa FM,20.0,45,76.0,121.0,0.628099173553719
1,120.0,20109,Aisa FM,20.0,1,120.0,121.0,0.9917355371900827
32,89.0,19939,Aisa FM,20.0,32,89.0,121.0,0.7355371900826446
17,93.0,21468,Aisa FM,20.0,17,93.0,110.0,0.8454545454545455
2,98.0,21298,Aisa FM,20.0,2,98.0,100.0,0.98
0,110.0,21128,Aisa FM,20.0,0,110.0,110.0,1.0
2,108.0,20958,Aisa FM,20.0,2,108.0,110.0,0.9818181818181818
0,121.0,21469,Aisa FM,20.0,0,121.0,121.0,1.0
11,99.0,21299,Aisa FM,20.0,11,99.0,110.0,0.9
5,116.0,21129,Aisa FM,20.0,5,116.0,121.0,0.9586776859504132
49,72.0,20959,Aisa FM,20.0,49,72.0,121.0,0.5950413223140496
32,89.0,21470,Aisa FM,20.0,32,89.0,121.0,0.7355371900826446
74,36.0,21300,Aisa FM,20.0,74,36.0,110.0,0.32727272727272727
43,78.0,21130,Aisa FM,20.0,43,78.0,121.0,0.6446280991735537
53,68.0,20960,Aisa FM,20.0,53,68.0,121.0,0.5619834710743802
47,74.0,21471,Aisa FM,20.0,47,74.0,121.0,0.6115702479338843
72,38.0,21301,Aisa FM,20.0,72,38.0,110.0,0.34545454545454546
80,41.0,21131,Aisa FM,20.0,80,41.0,121.0,0.33884297520661155
79,42.0,20961,Aisa FM,20.0,79,42.0,121.0,0.34710743801652894
61,60.0,21472,Aisa FM,20.0,61,60.0,121.0,0.49586776859504134
59,51.0,21302,Aisa FM,20.0,59,51.0,110.0,0.4636363636363636
60,61.0,21132,Aisa FM,20.0,60,61.0,121.0,0.5041322314049587
76,45.0,20962,Aisa FM,20.0,76,45.0,121.0,0.371900826446281
62,59.0,22490,Aisa FM,20.0,62,59.0,121.0,0.48760330578512395
22,99.0,22320,Aisa FM,20.0,22,99.0,121.0,0.8181818181818182
76,45.0,22150,Aisa FM,20.0,76,45.0,121.0,0.371900826446281
52,69.0,22491,Aisa FM,20.0,52,69.0,121.0,0.5702479338842975
37,84.0,22321,Aisa FM,20.0,37,84.0,121.0,0.6942148760330579
20,101.0,22151,Aisa FM,20.0,20,101.0,121.0,0.8347107438016529
57,64.0,22492,Aisa FM,20.0,57,64.0,121.0,0.5289256198347108
60,61.0,22322,Aisa FM,20.0,60,61.0,121.0,0.5041322314049587
37,84.0,22152,Aisa FM,20.0,37,84.0,121.0,0.6942148760330579
66,55.0,22493,Aisa FM,20.0,66,55.0,121.0,0.45454545454545453
85,25.0,21980,Aisa FM,20.0,85,25.0,110.0,0.22727272727272727
62,59.0,21810,Aisa FM,20.0,62,59.0,121.0,0.48760330578512395
56,65.0,21640,Aisa FM,20.0,56,65.0,121.0,0.5371900826446281
74,36.0,21981,Aisa FM,20.0,74,36.0,110.0,0.32727272727272727
58,63.0,21811,Aisa FM,20.0,58,63.0,121.0,0.5206611570247934
67,54.0,21641,Aisa FM,20.0,67,54.0,121.0,0.4462809917355372
39,71.0,21982,Aisa FM,20.0,39,71.0,110.0,0.6454545454545455
80,41.0,21812,Aisa FM,20.0,80,41.0,121.0,0.33884297520661155
78,43.0,21642,Aisa FM,20.0,78,43.0,121.0,0.35537190082644626
53,57.0,21983,Aisa FM,20.0,53,57.0,110.0,0.5181818181818182
83,38.0,21473,Aisa FM,20.0,83,38.0,121.0,0.3140495867768595
49,61.0,21303,Aisa FM,20.0,49,61.0,110.0,0.5545454545454546
81,40.0,21133,Aisa FM,20.0,81,40.0,121.0,0.3305785123966942
45,76.0,20963,Aisa FM,20.0,45,76.0,121.0,0.628099173553719
35,86.0,21474,Aisa FM,20.0,35,86.0,121.0,0.7107438016528925
52,58.0,21304,Aisa FM,20.0,52,58.0,110.0,0.5272727272727272
69,52.0,21134,Aisa FM,20.0,69,52.0,121.0,0.4297520661157025
84,37.0,20964,Aisa FM,20.0,84,37.0,121.0,0.30578512396694213
83,27.0,21475,Aisa FM,20.0,83,27.0,110.0,0.24545454545454545
14,86.0,21305,Aisa FM,20.0,14,86.0,100.0,0.86
65,56.0,22323,Aisa FM,20.0,65,56.0,121.0,0.4628099173553719
21,100.0,22153,Aisa FM,20.0,21,100.0,121.0,0.8264462809917356
59,62.0,22494,Aisa FM,20.0,59,62.0,121.0,0.512396694214876
26,95.0,22324,Aisa FM,20.0,26,95.0,121.0,0.7851239669421488
65,56.0,22154,Aisa FM,20.0,65,56.0,121.0,0.4628099173553719
35,75.0,22495,Aisa FM,20.0,35,75.0,110.0,0.6818181818181818
8,102.0,22325,Aisa FM,20.0,8,102.0,110.0,0.9272727272727272
49,61.0,22155,Aisa FM,20.0,49,61.0,110.0,0.5545454545454546
29,92.0,22496,Aisa FM,20.0,29,92.0,121.0,0.7603305785123967
60,61.0,22326,Aisa FM,20.0,60,61.0,121.0,0.5041322314049587
66,55.0,21813,Aisa FM,20.0,66,55.0,121.0,0.45454545454545453
73,48.0,21643,Aisa FM,20.0,73,48.0,121.0,0.39669421487603307
42,68.0,21984,Aisa FM,20.0,42,68.0,110.0,0.6181818181818182
92,29.0,21814,Aisa FM,20.0,92,29.0,121.0,0.2396694214876033
86,35.0,21644,Aisa FM,20.0,86,35.0,121.0,0.2892561983471074
46,54.0,21985,Aisa FM,20.0,46,54.0,100.0,0.54
66,44.0,21815,Aisa FM,20.0,66,44.0,110.0,0.4
85,25.0,21645,Aisa FM,20.0,85,25.0,110.0,0.22727272727272727
42,74.0,21986,Aisa FM,20.0,42,74.0,116.0,0.6379310344827587
81,40.0,21816,Aisa FM,20.0,81,40.0,121.0,0.3305785123966942
14,96.0,21135,Aisa FM,20.0,14,96.0,110.0,0.8727272727272727
51,59.0,20965,Aisa FM,20.0,51,59.0,110.0,0.5363636363636364
53,68.0,21476,Aisa FM,20.0,53,68.0,121.0,0.5619834710743802
61,49.0,21306,Aisa FM,20.0,61,49.0,110.0,0.44545454545454544
77,44.0,21136,Aisa FM,20.0,77,44.0,121.0,0.36363636363636365
38,83.0,20966,Aisa FM,20.0,38,83.0,121.0,0.6859504132231405
13,108.0,21477,Aisa FM,20.0,13,108.0,121.0,0.8925619834710744
42,68.0,21307,Aisa FM,20.0,42,68.0,110.0,0.6181818181818182
86,35.0,21137,Aisa FM,20.0,86,35.0,121.0,0.2892561983471074
38,83.0,20967,Aisa FM,20.0,38,83.0,121.0,0.6859504132231405
39,76.0,22156,Aisa FM,20.0,39,76.0,115.0,0.6608695652173913
16,105.0,22497,Aisa FM,20.0,16,105.0,121.0,0.8677685950413223
